"id","movie_id","title","vote_average","vote_count","overview","release_date","genres","providers","provider_release_dates","trending","timestamp","poster_image"
10,519182,Despicable Me 4,7.314,1145,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",2024-07-12,"{Animation,Family,Comedy,Action}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/wWba3TaojhK7NdycRhoQpsG0FaH.jpg
75,27205,Inception,8.369,36150,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-16,"{Action,""Science Fiction"",Adventure}","{""Sky Go"",""Now TV Cinema""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg
479,370172,No Time to Die,7.4,6095,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",2021-09-30,"{Action,Adventure,Thriller}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg
694,479753,Shockwave: Countdown to Disaster,5.5,101,A stolen seismic weapon is activated in Yemen. A hostage freed there tries in vain to warn against its global effect. It starts seismic activity at the Californian fault line where her daughter and ex are monitoring it. Can they stop it?,2020-06-01,"{Action,""Science Fiction"",Adventure,Thriller}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/sBD608VF4TcFHmP7SuC0OcvZQ0b.jpg
4829,726429,Xtreme,6.326,242,"Two years after the murder of his son and father, a retired hitman sets in motion a carefully crafted revenge plan against the killer: his own brother.",2021-06-04,"{Action,Adventure,Crime}","{Netflix,""Netflix basic with Ads""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/cwUhVcDeMYYeu8fq5q1OPOoSbZ7.jpg
4121,408266,Birth of the Dragon,5.737,283,"Set against the backdrop of San Francisco’s Chinatown, this cross-cultural biopic chronicles Bruce Lee’s emergence as a martial-arts superstar after his legendary secret showdown with fellow martial artist Wong Jack Man.",2018-02-23,"{Action,Drama}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/odn4Hj2u7IQhJRmr15pTYZbkbc.jpg
5245,124294,Soar Into the Sun,6.605,129,Tae-hun causes trouble for the his unit with his antics. He does not take much seriously until a dogfight leaves a pilot dead and another missing. Tae-hun and the other members of his unit launch a rescue mission to prevent a war from breaking out.,2012-08-14,"{Action,Drama,Romance}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/wiKfRPoid8MJrrbH0VsrMxiMiSW.jpg
25,573435,Bad Boys: Ride or Die,7.602,1637,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",2024-06-05,"{Action,Crime,Thriller,Comedy}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/oGythE98MYleE6mZlGs5oBGkux1.jpg
12,704673,Trigger Warning,5.82,391,A Special Forces commando uncovers a dangerous conspiracy when she returns to her hometown looking for answers into her beloved father's death.,2024-06-21,{Action},"{Netflix,""Netflix basic with Ads""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/lJN24nn28s5afC1UnLPYRgYOp1K.jpg
3759,123553,The Mortal Instruments: City of Bones,6.4,4400,"In New York City, Clary Fray, a seemingly ordinary teenager, learns that she is descended from a line of Shadowhunters — half-angel warriors who protect humanity from evil forces. After her mother disappears, Clary joins forces with a group of Shadowhunters and enters Downworld, an alternate realm filled with demons, vampires, and a host of other creatures. Clary and her companions must find and protect an ancient cup that holds the key to her mother's future.",2013-08-23,"{Fantasy,Action,Mystery}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/fspW2P3ggzBjdIw5HpJOw8HKtQK.jpg
48728,407454,A Mother's Revenge,5.4,16,Jennifer quickly grabs a black suitcase off the airport luggage carousel. She later discovers she's grabbed the wrong bag. Soon a man calls claiming he will harm her daughter if she doesn't follow his instructions and return his baggage.,2016-05-08,"{Action,Drama,Thriller,""TV Movie""}",{},{},false,2024-07-13 05:11:38.447,https://image.tmdb.org/t/p/w500/x6dkMsi66no0xULnP2b7SeSfkcM.jpg
3667,112205,The Family,6.358,2869,"After ratting out his Mafia cohorts, Giovanni Manzoni and his family enter the Witness Protection Program and relocate to a sleepy town in France. Despite the best efforts of their handler to keep them in line, Giovanni (now called Fred Blake), his wife and children can't help but resort to doing things the ""family"" way. However, their dependence on such old habits places everyone in danger from vengeful mobsters.",2013-11-22,"{Crime,Comedy,Action}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/3ER4u7T951pMv60hL5bUN6WsAMV.jpg
3694,808396,God Is a Bullet,6.159,176,"Vice detective Bob Hightower finds his ex-wife murdered and daughter kidnapped by a cult. Frustrated by the botched official investigations, he quits the force and infiltrates the cult to hunt down the leader with the help of the cult’s only female victim escapee, Case Hardin.",2023-09-22,"{Thriller,Action,Crime}","{""Sky Go"",""Now TV Cinema""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/5kiLS9nsSJxDdlYUyYGiSUt8Fi8.jpg
3928,496704,Tremors: A Cold Day in Hell,5.9,399,Burt Gummer and Travis Welker find themselves in a fight for survival after investigating deadly giant worm attacks in the Canadian arctic.,2018-05-14,"{Action,Adventure,""Science Fiction""}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/aFOdiHaRjeTmHG67e5B7md2Q1cq.jpg
35290,384683,The High Frontier,5.963,41,"A father and his two teenage sons travel to a small mountain cabin for a male bonding adventure. When a lost tourist arrives at the cabin, their male-bonding outing turns into a struggle for survival.",2016-02-19,"{Action,Drama,Thriller}",{},{},false,2024-08-16 05:13:13.960,https://image.tmdb.org/t/p/w500/trQHG7PXeuq20ROFmFbpcI2Dshf.jpg
4106,497727,Beyond the Edge,5.46,163,Contemporary Moscow. A talented gambler gathers a team of people with supernatural powers to win big at a casino. But they find a much stronger mystical rival.,2018-03-01,"{Adventure,Fantasy,Action}","{""Amazon Prime Video"",""Amazon Prime Video with Ads""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/txYDZuBQ3W3fMlySwWyLsXH0zay.jpg
13,823464,Godzilla x Kong: The New Empire,7.181,3439,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",2024-03-29,"{""Science Fiction"",Action,Adventure}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg
42,1143019,The Infallibles,6.079,76,"When a gang of robbers provokes chaos in Paris and humiliates the police, the Minister of the Interior wants new blood at the helm of the investigation: Alia is from Marseille, fiery-tempered and unmanageable, Hugo is Parisian, valedictorian and meticulous. In short, they have every reason to hate each other. A forced alliance, for better or for worse, or maybe blossoming into something else?",2024-06-20,"{Comedy,Action}","{""Amazon Prime Video"",""Amazon Prime Video with Ads""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/7PoIAvL3Io5v0HyBliXfXZruQTi.jpg
309,588228,The Tomorrow War,7.535,3316,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",2021-07-02,"{Action,""Science Fiction"",Adventure}","{""Amazon Prime Video"",""Amazon Prime Video with Ads""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg
3604,44912,Green Lantern,5.167,7102,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",2011-06-17,"{Adventure,Action,Thriller,""Science Fiction""}","{Netflix,""Netflix basic with Ads""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/fj21HwUprqjjwTdkKC1XZurRSpV.jpg
3705,602063,Rurouni Kenshin: The Final,7.69,456,"In 1879, Kenshin and his allies face their strongest enemy yet: his former brother-in-law Enishi Yukishiro and his minions, who've vowed their revenge.",2021-06-18,"{Action,Adventure,History,Drama}","{Netflix,""Netflix basic with Ads""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/eYZ9yOBXlkMmorvurGnQHQW3Zvu.jpg
4921,739542,America: The Motion Picture,5.69,232,A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,2021-06-30,"{Animation,Action,Comedy}","{Netflix,""Netflix basic with Ads""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/1JRRvx5RotvWM1maeq9r82ktdHi.jpg
4800,329833,Zoolander 2,4.911,2180,Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,2016-02-06,"{Comedy,Adventure,Action}","{Netflix,""Paramount Plus"",""Paramount+ Amazon Channel"",""Netflix basic with Ads"",""Paramount Plus Apple TV Channel ""}","{NULL,NULL,NULL,NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/e0sHfnIDANQtuqgn7UIupdJni3O.jpg
656,34544,The A-Team,6.4,4531,"A man who loves when a plan comes together, Col. Hannibal Smith leads a close-knit team of elite operatives and Iraq War veterans. Framed for a crime they didn't commit, Smith and his men, Capt. H.M. ‘Howling Mad’ Murdock , Sgt. Bosco ‘B.A.’ Baracus, and Lt. Templeton ‘Faceman’ Peck, break out and go rogue, using their special talents to clear their names and find the perpetrator. Hot on their trail is Capt. Charissa Sosa, who was once involved with a member of Smith's team and has sworn to capture them, no matter what it takes.",2010-07-28,"{Thriller,Action,Adventure,Comedy,Crime}",{},{},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/k3mKy2zYfzqGg9o5JeDyzSEPPHO.jpg
3689,483686,Tokyo Ghoul: Pinto,7.4,76,The OVA adapts the third story in the Tokyo Ghoul: Hibi novel when Shuu Tsukiyama and Chie Hori met.,2015-12-25,"{Drama,Action,Animation,Horror}","{Netflix,""Netflix basic with Ads""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/qpFm94sLEjUVHeisca4AGtGBpcb.jpg
77980,1210457,Untitled Vishnuvardhan film,0.0,0,"In the dark underbelly of the city, Bloodshed Bhai, a feared and ruthless gangster, rises to power, leaving a trail of violence and chaos in his wake. As law enforcement agencies close in on him, Bloodshed Bhai must navigate obstacles.",2024-12-25,"{Action,Thriller}",{},{},false,2024-07-21 05:12:48.351,
4254,1163045,Jagun Jagun,6.7,55,"A young man determined to become a powerful warrior joins an elite army, encountering the wrath of a maniacal warlord and the love of a fierce woman.",2023-08-10,"{Action,Drama}","{Netflix,""Netflix basic with Ads""}","{NULL,NULL}",false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/uPZtE5DSo9VIX2N3NPtmTayhgP8.jpg
4124,72431,Red Tails,6.556,621,"The story of the Tuskegee Airmen, the first African-American pilots to fly in a combat squadron during World War II.",2012-06-05,"{Drama,Action,Adventure,History,War}","{""Disney Plus""}",{NULL},false,2024-08-22 05:13:01.861,https://image.tmdb.org/t/p/w500/jiORLnBsGcVcqIibkGBE213zAyh.jpg
